ID,Fecha,Año,Mes,País,Región,Sector,Tamaño_Empresa,Empleados,Certificación,Tipo_Residuo,Estrategia_Circular,Residuos_Generados_Ton,Residuos_Recuperados_Ton,Residuos_Dispuestos_Ton,Tasa_Recuperación_Pct,CO2_Evitado_TonCO2eq,Agua_Ahorrada_m3,Energía_Ahorrada_MWh,Inversión_USD,Ingresos_Circular_USD,Empleos_Creados,ROI_Pct,Índice_Circularidad
545,2020-01-27,2020,1,España,Norte,Papel y Cartón,Grande (250+),1390,B Corp,Papel/Cartón,Economía de Producto como Servicio,2159.94,1594.55,565.39,73.82,3951.06,5241.44,11164.4,459392.88,1475928.8,22,221.28,3.2
546,2019-12-12,2019,12,Chile,Norte,Construcción,Micro (<10),3,B Corp,Electrónicos (RAEE),Remanufactura,4749.85,4323.91,425.94,91.03,7298.03,49722.44,16291.09,379072.37,985717.45,46,160.03,2.4
547,2022-03-17,2022,3,México,Este,Alimentos,Grande (250+),911,Ninguna,Madera,Remanufactura,3614.05,1510.14,2103.91,41.79,3021.21,7000.34,6342.14,25095.69,51522.28,33,105.3,4.5
548,2023-10-11,2023,10,Colombia,Este,Agroindustria,Grande (250+),820,Cradle to Cradle,Residuos Orgánicos,Upcycling,501.84,211.85,289.99,42.21,118.81,1100.97,803.31,442789.23,604600.56,16,36.54,2.3
549,2023-09-26,2023,9,Argentina,Norte,Químicos,Micro (<10),9,Cradle to Cradle,Químico Peligroso,Compostaje,979.69,569.13,410.56,58.09,1200.45,3692.97,1487.58,473992.01,843472.42,28,77.95,9.3
550,2021-12-22,2021,12,España,Sur,Metales,Mediana (50-249),222,ISO 14001,Textil,Co-procesamiento,586.73,279.23,307.5,47.59,132.34,3409.35,1662.87,164230.74,331939.97,17,102.12,1.7
551,2024-11-02,2024,11,Perú,Centro,Manufactura,Mediana (50-249),97,ISO 50001,Textil,Reciclaje,4746.17,3271.45,1474.72,68.93,2751.32,30802.78,23033.83,110884.57,120535.4,30,8.7,5.5
552,2019-08-18,2019,8,Colombia,Oeste,Textil,Pequeña (10-49),43,ISO 14001,Plástico,Economía de Producto como Servicio,3058.03,2305.12,752.91,75.38,888.37,24867.06,11756.89,315882.17,380368.68,22,20.41,8.9
553,2023-08-10,2023,8,Argentina,Este,Electrónica,Grande (250+),1201,Cradle to Cradle,Construcción,Co-procesamiento,487.18,140.14,347.04,28.77,313.63,1638.51,372.01,484711.71,715527.13,42,47.62,9.6
554,2023-07-22,2023,7,España,Oeste,Plásticos,Grande (250+),1906,ISO 14001 + B Corp,Textil,Compostaje,1178.13,502.97,675.16,42.69,712.44,6796.35,3204.53,31340.83,88236.85,16,181.54,5.0
555,2021-11-27,2021,11,Brasil,Sur,Electrónica,Grande (250+),1355,B Corp,Residuos Orgánicos,Reparación,232.91,127.9,105.01,54.91,100.64,1703.74,578.12,389996.45,324066.33,39,-16.91,1.2
556,2019-11-02,2019,11,México,Centro,Papel y Cartón,Mediana (50-249),155,ISO 14001 + B Corp,Plástico,Remanufactura,2595.65,1252.24,1343.41,48.24,922.36,4532.36,5657.3,430001.7,510843.48,10,18.8,6.0
557,2022-01-06,2022,1,Argentina,Oeste,Manufactura,Micro (<10),7,Cradle to Cradle,Residuos Orgánicos,Reutilización,1419.03,310.64,1108.39,21.89,524.8,3351.48,234.02,375207.78,1102730.99,24,193.9,8.8
558,2023-03-04,2023,3,España,Centro,Construcción,Micro (<10),5,ISO 14001,Químico Peligroso,Digestión Anaeróbica,3680.69,3011.7,668.99,81.82,2190.79,29143.73,8557.51,162539.64,331104.12,1,103.71,1.9
559,2022-09-09,2022,9,Paraguay,Sur,Metales,Grande (250+),708,ISO 14001,Textil,Reparación,2419.33,2196.7,222.63,90.8,3235.85,10549.19,1381.93,249020.41,418587.26,23,68.09,6.2
560,2019-11-10,2019,11,México,Centro,Papel y Cartón,Mediana (50-249),153,Ninguna,Vidrio,Co-procesamiento,1665.52,1384.96,280.56,83.15,3388.72,3860.92,2450.57,432549.03,851876.93,15,96.94,8.5
561,2021-12-11,2021,12,Ecuador,Oeste,Alimentos,Grande (250+),891,EMAS,Vidrio,Reutilización,4172.45,953.31,3219.14,22.85,1731.02,9135.43,6707.21,134804.3,152015.11,35,12.77,9.6
562,2024-02-13,2024,2,Argentina,Oeste,Plásticos,Micro (<10),8,ISO 14001,Construcción,Co-procesamiento,640.78,134.97,505.81,21.06,194.88,423.8,267.28,435004.84,365836.36,27,-15.9,5.7
563,2022-05-24,2022,5,Colombia,Norte,Químicos,Micro (<10),4,EMAS,Textil,Digestión Anaeróbica,4610.24,3355.39,1254.85,72.78,4863.49,32895.76,11029.97,325460.14,300905.08,33,-7.54,5.7
564,2020-09-23,2020,9,Chile,Sur,Metales,Mediana (50-249),187,B Corp,Construcción,Upcycling,4147.89,861.35,3286.54,20.77,1047.29,3040.32,863.81,488511.09,701268.19,12,43.55,4.0
565,2024-09-08,2024,9,México,Este,Alimentos,Pequeña (10-49),26,ISO 14001,Construcción,Intercambio Industrial,1728.06,364.66,1363.4,21.1,263.94,1946.02,2675.27,213656.66,574302.55,23,168.8,6.8
566,2021-03-09,2021,3,Argentina,Sur,Construcción,Micro (<10),5,B Corp,Madera,Compostaje,2820.48,842.84,1977.64,29.88,1221.36,8601.36,2842.14,288252.2,882109.57,38,206.02,2.9
567,2022-01-11,2022,1,México,Sur,Textil,Pequeña (10-49),25,ISO 50001,Vidrio,Reciclaje,393.55,376.42,17.13,95.65,226.36,4666.73,1389.19,236372.85,332736.14,48,40.77,4.4
568,2023-04-06,2023,4,Brasil,Norte,Metales,Mediana (50-249),161,Cradle to Cradle,Electrónicos (RAEE),Reparación,4727.72,4019.56,708.16,85.02,7496.34,51604.43,18906.58,245556.66,703985.2,43,186.69,4.1
569,2023-04-13,2023,4,México,Centro,Plásticos,Grande (250+),1279,ISO 50001,Construcción,Remanufactura,1874.16,1739.01,135.15,92.79,4330.07,7206.09,5577.76,98249.41,221902.7,21,125.86,9.3
570,2024-12-09,2024,12,Paraguay,Norte,Electrónica,Grande (250+),1785,Ninguna,Residuos Orgánicos,Reparación,1374.5,336.25,1038.25,24.46,524.15,642.49,1978.91,235933.83,547989.07,29,132.26,8.9
571,2024-12-06,2024,12,Ecuador,Sur,Construcción,Micro (<10),9,Cradle to Cradle,Residuos Orgánicos,Remanufactura,4355.21,1318.26,3036.95,30.27,1612.31,17029.73,1213.27,319101.6,219215.27,6,-31.3,6.5
572,2024-07-14,2024,7,México,Norte,Plásticos,Mediana (50-249),205,Cradle to Cradle,Electrónicos (RAEE),Compostaje,4189.39,3026.08,1163.31,72.23,1340.25,38244.03,12895.47,364749.58,274257.43,28,-24.81,7.2
573,2019-06-15,2019,6,Brasil,Este,Agroindustria,Mediana (50-249),210,Cradle to Cradle,Residuos Orgánicos,Reparación,2843.03,2112.68,730.35,74.31,3265.39,16374.48,2898.52,46190.3,124189.6,11,168.87,7.9
574,2021-11-21,2021,11,México,Sur,Textil,Micro (<10),3,B Corp,Electrónicos (RAEE),Co-procesamiento,4713.57,4121.44,592.13,87.44,8013.31,47250.21,11658.12,190275.92,259009.23,17,36.12,3.0
575,2021-02-16,2021,2,Argentina,Oeste,Electrónica,Mediana (50-249),187,EMAS,Vidrio,Compostaje,1778.99,860.35,918.64,48.36,1720.02,7365.52,5782.63,343832.9,347760.82,37,1.14,2.9
576,2023-12-26,2023,12,Brasil,Centro,Plásticos,Mediana (50-249),85,B Corp,Papel/Cartón,Upcycling,1348.41,809.52,538.89,60.04,618.14,3599.48,1988.46,461037.77,945629.71,40,105.11,6.3
577,2024-06-28,2024,6,Perú,Norte,Alimentos,Micro (<10),8,EMAS,Textil,Intercambio Industrial,4505.62,1459.03,3046.59,32.38,1963.99,8819.94,10610.58,94368.65,148537.54,10,57.4,1.2
578,2022-04-09,2022,4,Paraguay,Oeste,Metales,Grande (250+),1835,B Corp,Madera,Intercambio Industrial,3618.25,2419.65,1198.6,66.87,3294.66,16733.25,1938.06,464565.78,558830.42,32,20.29,3.4
579,2021-10-23,2021,10,Paraguay,Sur,Papel y Cartón,Pequeña (10-49),19,Cradle to Cradle,Madera,Reutilización,4714.52,1672.71,3041.81,35.48,4080.31,19487.03,2465.88,167240.41,565229.09,5,237.97,4.6
580,2019-03-08,2019,3,Uruguay,Este,Manufactura,Pequeña (10-49),16,EMAS,Metal,Upcycling,4289.52,2318.52,1971.0,54.05,4389.18,8302.3,10816.15,388028.65,199770.48,10,-48.52,7.2
581,2022-03-11,2022,3,Argentina,Norte,Metales,Pequeña (10-49),14,ISO 14001 + B Corp,Textil,Co-procesamiento,3816.41,1160.76,2655.65,30.41,2322.88,15813.37,7717.24,365455.68,648237.0,25,77.38,7.0
582,2021-06-11,2021,6,Paraguay,Sur,Manufactura,Pequeña (10-49),29,ISO 14001 + B Corp,Vidrio,Intercambio Industrial,2509.77,505.07,2004.7,20.12,817.29,3472.58,545.23,115806.66,231595.84,2,99.98,4.1
583,2019-05-14,2019,5,Colombia,Oeste,Papel y Cartón,Mediana (50-249),91,Ninguna,Metal,Reparación,901.69,460.41,441.28,51.06,662.15,1352.14,3014.17,173797.15,468906.79,41,169.8,2.2
584,2022-01-10,2022,1,Ecuador,Oeste,Papel y Cartón,Grande (250+),478,B Corp,Construcción,Reutilización,2127.78,1657.14,470.64,77.88,919.89,20542.22,12116.31,251528.73,715098.84,45,184.3,8.1
585,2024-10-09,2024,10,Brasil,Este,Químicos,Pequeña (10-49),33,ISO 14001,Textil,Reciclaje,992.08,827.41,164.67,83.4,1572.73,6323.36,714.95,141575.26,122413.66,31,-13.53,7.2
586,2020-05-12,2020,5,Chile,Este,Papel y Cartón,Micro (<10),4,Cradle to Cradle,Electrónicos (RAEE),Reparación,2088.22,1145.35,942.87,54.85,1093.7,2268.71,1532.05,366220.25,766794.01,25,109.38,1.9
587,2020-12-27,2020,12,Colombia,Centro,Metales,Mediana (50-249),235,Ninguna,Textil,Reparación,2620.18,1460.93,1159.25,55.76,684.27,9543.87,2338.41,488444.82,1178833.95,6,141.34,4.0
588,2024-11-24,2024,11,Chile,Este,Papel y Cartón,Pequeña (10-49),25,B Corp,Textil,Reutilización,4415.21,3765.05,650.16,85.27,4719.71,11565.27,7294.13,131226.9,184978.0,32,40.96,1.4
589,2021-09-22,2021,9,Paraguay,Sur,Metales,Mediana (50-249),118,B Corp,Vidrio,Digestión Anaeróbica,233.48,119.3,114.18,51.1,83.36,637.82,64.17,104361.03,297027.33,42,184.62,6.4
590,2020-02-20,2020,2,Perú,Este,Construcción,Micro (<10),1,B Corp,Vidrio,Upcycling,1442.72,1089.81,352.91,75.54,2309.68,10284.36,5733.27,165047.26,275153.35,35,66.71,4.1
591,2024-07-09,2024,7,Uruguay,Sur,Agroindustria,Pequeña (10-49),33,Cradle to Cradle,Construcción,Co-procesamiento,2017.68,1443.34,574.34,71.53,2247.12,3696.7,5988.47,492488.65,369009.92,47,-25.07,7.8
592,2023-07-14,2023,7,Uruguay,Este,Metales,Pequeña (10-49),48,Cradle to Cradle,Residuos Orgánicos,Compostaje,4979.15,1086.74,3892.41,21.83,2653.15,9793.63,4543.31,118124.56,385502.91,8,226.35,4.6
593,2024-07-18,2024,7,Argentina,Sur,Construcción,Pequeña (10-49),42,ISO 14001 + B Corp,Madera,Reparación,2045.54,1607.79,437.75,78.6,1961.5,15418.47,4655.4,182224.17,148861.9,43,-18.31,4.5
594,2022-05-01,2022,5,Brasil,Sur,Metales,Grande (250+),309,ISO 50001,Construcción,Reparación,2665.67,1227.71,1437.96,46.06,1621.62,4696.79,8967.94,192293.36,472909.51,26,145.93,6.6
595,2024-07-01,2024,7,Colombia,Centro,Alimentos,Micro (<10),7,Cradle to Cradle,Madera,Economía de Producto como Servicio,1628.48,643.17,985.31,39.5,998.5,5062.28,760.39,185777.66,506967.94,50,172.89,8.7
596,2021-03-10,2021,3,Colombia,Sur,Metales,Pequeña (10-49),42,Ninguna,Electrónicos (RAEE),Upcycling,328.74,73.67,255.07,22.41,115.72,567.19,414.58,222382.94,272563.86,11,22.57,8.2
597,2024-11-14,2024,11,Perú,Norte,Agroindustria,Micro (<10),9,ISO 14001,Vidrio,Co-procesamiento,4335.98,4234.16,101.82,97.65,9301.48,10373.42,15362.26,130754.59,346228.97,7,164.79,8.4
598,2024-11-15,2024,11,México,Centro,Electrónica,Mediana (50-249),218,Ninguna,Textil,Reutilización,2145.8,636.8,1509.0,29.68,395.56,3211.85,4259.69,377035.35,314956.93,10,-16.46,2.3
599,2022-12-16,2022,12,Argentina,Norte,Metales,Micro (<10),1,EMAS,Vidrio,Reparación,3763.75,2975.04,788.71,79.04,3133.83,32142.69,8865.5,225737.7,287536.84,17,27.38,3.6
600,2023-11-10,2023,11,Argentina,Sur,Plásticos,Mediana (50-249),57,EMAS,Madera,Remanufactura,2379.05,1292.04,1087.01,54.31,1225.8,14910.66,7381.58,74116.54,102058.37,24,37.7,2.9
601,2024-09-13,2024,9,Chile,Centro,Agroindustria,Mediana (50-249),184,EMAS,Madera,Reutilización,2387.49,2153.52,233.97,90.2,5253.05,21948.67,10559.82,251046.55,519669.44,24,107.0,2.6
602,2020-03-09,2020,3,Brasil,Sur,Manufactura,Pequeña (10-49),24,EMAS,Plástico,Remanufactura,3045.16,2340.01,705.15,76.84,1317.66,9731.45,9923.81,285134.59,688859.43,0,141.59,4.3
603,2023-12-18,2023,12,México,Centro,Papel y Cartón,Micro (<10),4,EMAS,Plástico,Remanufactura,4363.71,4175.81,187.9,95.69,1766.97,38210.66,9854.03,128779.96,350063.51,44,171.83,5.1
604,2024-02-05,2024,2,México,Sur,Alimentos,Mediana (50-249),212,ISO 14001,Papel/Cartón,Economía de Producto como Servicio,2615.18,647.19,1967.99,24.75,518.2,6087.89,3145.04,232671.38,491122.97,50,111.08,2.8
605,2023-04-20,2023,4,España,Centro,Metales,Pequeña (10-49),10,ISO 14001,Plástico,Co-procesamiento,2438.72,1570.72,868.0,64.41,2481.38,20616.29,2099.16,443372.22,1255713.3,12,183.22,4.7
606,2024-05-09,2024,5,Chile,Este,Metales,Grande (250+),1293,Cradle to Cradle,Metal,Remanufactura,4336.97,1709.79,2627.18,39.42,1548.44,15519.88,4814.82,220581.86,756967.9,11,243.17,5.2
607,2021-11-22,2021,11,Colombia,Oeste,Agroindustria,Mediana (50-249),225,ISO 14001,Plástico,Digestión Anaeróbica,2695.26,923.05,1772.21,34.25,1858.42,10890.62,1937.6,251388.06,367038.53,33,46.0,9.3
608,2020-03-20,2020,3,Argentina,Oeste,Alimentos,Pequeña (10-49),40,ISO 50001,Metal,Remanufactura,3314.64,1504.95,1809.69,45.4,2161.45,11883.03,7470.91,209037.67,560096.55,14,167.94,2.3
609,2022-07-01,2022,7,Perú,Centro,Plásticos,Mediana (50-249),219,Ninguna,Electrónicos (RAEE),Co-procesamiento,3812.3,1964.03,1848.27,51.52,4774.75,12321.86,12845.31,487517.89,1365608.69,1,180.11,3.3
610,2023-12-07,2023,12,Perú,Centro,Manufactura,Grande (250+),1600,EMAS,Electrónicos (RAEE),Digestión Anaeróbica,3988.39,2718.86,1269.53,68.17,3448.13,14134.0,2877.1,81048.56,216281.93,46,166.85,4.5
611,2019-11-11,2019,11,Uruguay,Norte,Textil,Grande (250+),1457,ISO 14001,Papel/Cartón,Intercambio Industrial,1383.85,675.55,708.3,48.82,1575.34,2025.92,1018.15,375163.28,552854.32,49,47.36,3.7
612,2023-11-09,2023,11,Argentina,Centro,Químicos,Pequeña (10-49),33,EMAS,Plástico,Co-procesamiento,2785.59,2332.94,452.65,83.75,4239.08,7923.39,14637.55,435491.94,1131300.9,47,159.78,7.7
613,2021-04-22,2021,4,Argentina,Este,Agroindustria,Pequeña (10-49),43,Ninguna,Electrónicos (RAEE),Co-procesamiento,4857.34,1952.85,2904.49,40.2,3179.16,27517.99,3030.87,321477.88,572871.26,31,78.2,4.4
614,2022-05-19,2022,5,Paraguay,Centro,Papel y Cartón,Mediana (50-249),169,ISO 14001 + B Corp,Residuos Orgánicos,Economía de Producto como Servicio,1672.09,421.94,1250.15,25.23,196.72,1157.78,1977.71,57055.13,55610.02,32,-2.53,6.9
615,2024-06-03,2024,6,Argentina,Sur,Construcción,Grande (250+),1946,Ninguna,Textil,Reparación,912.46,591.89,320.57,64.87,768.81,7129.33,3578.53,474303.34,1502683.55,25,216.82,4.5
616,2023-11-25,2023,11,México,Sur,Textil,Pequeña (10-49),22,EMAS,Electrónicos (RAEE),Digestión Anaeróbica,1636.46,911.59,724.87,55.7,1607.94,10842.47,4383.19,177968.01,558985.99,36,214.09,2.9
617,2023-06-03,2023,6,Colombia,Sur,Construcción,Micro (<10),6,ISO 14001 + B Corp,Residuos Orgánicos,Economía de Producto como Servicio,1640.67,731.68,908.99,44.6,589.9,3160.05,2028.2,212717.54,279347.87,13,31.32,2.1
618,2022-07-07,2022,7,Brasil,Oeste,Manufactura,Grande (250+),1251,ISO 14001,Construcción,Upcycling,1032.13,512.76,519.37,49.68,1072.64,1411.88,929.75,456728.32,1221088.29,7,167.36,7.7
619,2021-08-09,2021,8,Perú,Centro,Plásticos,Pequeña (10-49),14,ISO 14001,Textil,Upcycling,2546.13,2385.77,160.36,93.7,800.47,15818.59,8708.31,480822.81,384753.49,23,-19.98,6.9
620,2019-03-28,2019,3,Argentina,Este,Construcción,Micro (<10),5,EMAS,Textil,Co-procesamiento,1248.75,799.66,449.09,64.04,464.99,2880.96,4568.48,381381.63,260691.27,13,-31.65,8.4
621,2021-02-26,2021,2,Brasil,Sur,Agroindustria,Pequeña (10-49),31,B Corp,Metal,Economía de Producto como Servicio,816.06,479.92,336.14,58.81,467.13,4771.23,3511.75,133325.49,195084.28,50,46.32,1.3
622,2024-09-06,2024,9,Colombia,Centro,Papel y Cartón,Grande (250+),1485,ISO 14001 + B Corp,Residuos Orgánicos,Economía de Producto como Servicio,795.07,168.28,626.79,21.17,382.64,461.71,1331.34,57092.88,110021.87,26,92.71,8.3
623,2024-09-12,2024,9,México,Este,Electrónica,Mediana (50-249),107,ISO 50001,Construcción,Co-procesamiento,4784.74,3451.6,1333.14,72.14,1767.48,28140.28,23240.21,286048.53,251007.28,32,-12.25,1.7
624,2021-03-24,2021,3,España,Sur,Papel y Cartón,Micro (<10),3,ISO 50001,Papel/Cartón,Intercambio Industrial,3298.55,1505.22,1793.33,45.63,3676.81,15839.15,6622.03,289006.39,910586.46,48,215.07,7.0
625,2020-11-02,2020,11,Paraguay,Norte,Manufactura,Pequeña (10-49),38,ISO 50001,Textil,Reutilización,4177.72,1610.54,2567.18,38.55,1888.97,2670.47,6612.59,428982.54,456113.45,36,6.32,6.6
626,2021-06-26,2021,6,Ecuador,Sur,Metales,Mediana (50-249),214,EMAS,Plástico,Reparación,4360.5,3497.85,862.65,80.22,4560.83,9803.76,24210.75,381871.39,492075.67,50,28.86,9.7
627,2024-05-05,2024,5,Colombia,Centro,Construcción,Micro (<10),9,ISO 14001,Vidrio,Co-procesamiento,4367.17,1919.3,2447.87,43.95,2417.48,28383.01,2153.94,433616.78,873378.41,25,101.42,7.1
628,2023-01-26,2023,1,México,Centro,Textil,Pequeña (10-49),19,Cradle to Cradle,Electrónicos (RAEE),Economía de Producto como Servicio,2668.12,1656.31,1011.81,62.08,3024.63,24781.48,2899.62,80216.15,203844.53,40,154.12,4.8
629,2022-08-15,2022,8,Argentina,Centro,Electrónica,Mediana (50-249),243,Ninguna,Residuos Orgánicos,Digestión Anaeróbica,1613.0,1230.41,382.59,76.28,1181.18,3089.25,7151.83,334391.97,376613.77,46,12.63,2.3
630,2022-10-07,2022,10,Uruguay,Oeste,Agroindustria,Pequeña (10-49),23,B Corp,Vidrio,Digestión Anaeróbica,1246.62,590.05,656.57,47.33,470.78,8444.9,916.53,201318.83,539119.12,37,167.79,7.1
631,2024-10-16,2024,10,Perú,Norte,Manufactura,Mediana (50-249),60,Cradle to Cradle,Plástico,Economía de Producto como Servicio,1164.74,631.12,533.62,54.19,1330.99,5558.28,3203.1,77684.63,243982.61,48,214.07,8.5
632,2021-04-17,2021,4,Chile,Oeste,Construcción,Pequeña (10-49),36,B Corp,Construcción,Digestión Anaeróbica,519.74,508.37,11.37,97.81,827.27,4873.81,1636.5,434811.28,1084737.54,44,149.47,1.9
633,2021-02-01,2021,2,Chile,Este,Electrónica,Mediana (50-249),205,Ninguna,Papel/Cartón,Economía de Producto como Servicio,510.15,422.75,87.4,82.87,352.59,3459.02,2085.48,333148.62,270482.15,49,-18.81,6.1
634,2023-02-04,2023,2,Paraguay,Norte,Químicos,Micro (<10),6,Cradle to Cradle,Textil,Reutilización,4833.81,1866.43,2967.38,38.61,2941.99,20671.87,9385.42,407826.49,1082725.09,2,165.49,8.8
635,2019-11-11,2019,11,México,Sur,Papel y Cartón,Pequeña (10-49),25,Cradle to Cradle,Textil,Reutilización,498.53,457.71,40.82,91.81,944.79,5191.47,3144.8,127503.6,376786.56,22,195.51,8.1
636,2024-06-24,2024,6,Perú,Centro,Metales,Pequeña (10-49),30,Cradle to Cradle,Papel/Cartón,Compostaje,2009.6,948.25,1061.35,47.19,1985.67,12235.95,6566.49,167547.87,393604.83,47,134.92,9.2
637,2022-04-09,2022,4,España,Sur,Papel y Cartón,Grande (250+),885,B Corp,Electrónicos (RAEE),Intercambio Industrial,4280.6,2476.94,1803.66,57.86,2579.49,18353.84,7953.39,80449.47,80902.37,1,0.56,9.2
638,2024-02-07,2024,2,Ecuador,Centro,Electrónica,Pequeña (10-49),18,Ninguna,Químico Peligroso,Economía de Producto como Servicio,471.35,355.92,115.43,75.51,823.01,3720.46,2452.85,73736.96,112116.45,22,52.05,8.6
639,2019-04-18,2019,4,Chile,Oeste,Alimentos,Mediana (50-249),53,ISO 50001,Madera,Reciclaje,779.28,759.24,20.04,97.43,271.8,3439.6,4337.61,110268.6,344634.35,28,212.54,3.2
640,2023-04-14,2023,4,México,Centro,Alimentos,Grande (250+),1008,Cradle to Cradle,Construcción,Co-procesamiento,934.36,564.81,369.55,60.45,666.0,5235.04,4104.8,194164.79,249400.18,50,28.45,4.3
641,2021-12-08,2021,12,Argentina,Sur,Plásticos,Micro (<10),4,B Corp,Químico Peligroso,Remanufactura,3978.81,2592.54,1386.27,65.16,1328.85,35999.94,20458.46,354468.61,746539.16,6,110.61,6.8
642,2022-08-19,2022,8,Ecuador,Centro,Textil,Micro (<10),3,Ninguna,Construcción,Reparación,2183.74,2060.29,123.45,94.35,1394.71,18665.08,9667.85,29715.34,45845.1,45,54.28,1.6
643,2022-04-22,2022,4,Chile,Sur,Alimentos,Grande (250+),263,Ninguna,Papel/Cartón,Reutilización,2263.3,1403.13,860.17,61.99,2503.56,8365.74,6698.44,438108.38,1462757.73,9,233.88,9.7
644,2023-07-24,2023,7,México,Norte,Plásticos,Micro (<10),2,Cradle to Cradle,Madera,Reciclaje,810.23,285.04,525.19,35.18,699.92,3404.92,2258.07,418033.97,245997.38,31,-41.15,9.5
645,2020-02-10,2020,2,Paraguay,Este,Papel y Cartón,Grande (250+),1789,ISO 50001,Textil,Digestión Anaeróbica,1779.01,1337.22,441.79,75.17,2987.27,11026.32,2519.65,201312.45,237532.71,41,17.99,1.8
646,2019-03-01,2019,3,Chile,Este,Manufactura,Micro (<10),3,B Corp,Madera,Reutilización,4818.18,2952.17,1866.01,61.27,915.92,19762.34,2088.37,452667.38,991384.16,4,119.01,5.5
647,2023-03-15,2023,3,Ecuador,Este,Textil,Pequeña (10-49),29,Cradle to Cradle,Electrónicos (RAEE),Reciclaje,3533.31,3131.02,402.29,88.61,2161.91,10988.23,20797.69,16140.49,9947.75,34,-38.37,4.1
648,2023-03-20,2023,3,Colombia,Sur,Alimentos,Micro (<10),2,Ninguna,Químico Peligroso,Compostaje,4600.4,4285.26,315.14,93.15,10040.08,38129.11,14639.92,224519.85,190649.88,35,-15.09,2.3
649,2024-12-25,2024,12,Uruguay,Oeste,Textil,Mediana (50-249),243,ISO 14001,Textil,Reutilización,4196.12,1162.53,3033.59,27.7,1678.29,12157.06,3376.16,264141.41,587783.41,34,122.53,6.8
650,2022-07-13,2022,7,Chile,Oeste,Plásticos,Pequeña (10-49),13,EMAS,Metal,Co-procesamiento,416.53,91.05,325.48,21.86,48.21,826.45,461.85,153642.89,534195.14,49,247.69,1.4
651,2024-01-18,2024,1,España,Este,Electrónica,Pequeña (10-49),43,B Corp,Madera,Intercambio Industrial,144.68,138.04,6.64,95.41,158.3,862.59,625.77,412049.32,1051754.29,27,155.25,4.3
652,2019-12-07,2019,12,México,Este,Textil,Pequeña (10-49),25,ISO 50001,Plástico,Co-procesamiento,2478.9,1600.11,878.79,64.55,2638.0,3377.28,5378.23,450260.03,382267.65,18,-15.1,9.2
653,2019-03-05,2019,3,Perú,Oeste,Agroindustria,Mediana (50-249),154,ISO 14001 + B Corp,Textil,Upcycling,2995.76,2052.02,943.74,68.5,1781.17,28624.45,11497.4,355376.04,1139429.2,19,220.63,1.1
654,2019-11-23,2019,11,Brasil,Centro,Papel y Cartón,Grande (250+),1349,EMAS,Papel/Cartón,Upcycling,1980.37,1471.18,509.19,74.29,1895.0,15373.83,3195.86,319160.93,269957.55,50,-15.42,3.9
655,2021-02-25,2021,2,Chile,Centro,Papel y Cartón,Mediana (50-249),77,EMAS,Papel/Cartón,Economía de Producto como Servicio,601.41,506.29,95.12,84.18,1136.55,7254.03,2359.63,249485.64,219882.94,2,-11.87,3.1
656,2021-08-24,2021,8,Brasil,Centro,Agroindustria,Pequeña (10-49),46,Ninguna,Plástico,Reciclaje,718.08,478.0,240.08,66.57,186.57,6741.62,2987.94,95295.74,107807.51,20,13.13,4.1
657,2022-07-05,2022,7,Chile,Norte,Agroindustria,Pequeña (10-49),25,B Corp,Electrónicos (RAEE),Co-procesamiento,4734.37,2813.94,1920.43,59.44,2238.54,28047.62,8495.75,360869.36,207835.14,28,-42.41,3.6
658,2022-09-18,2022,9,Colombia,Norte,Agroindustria,Micro (<10),7,ISO 14001,Químico Peligroso,Remanufactura,92.22,70.27,21.95,76.2,133.02,410.54,55.39,450858.29,1151018.59,0,155.29,8.3
659,2023-11-13,2023,11,Paraguay,Oeste,Construcción,Micro (<10),8,ISO 14001,Vidrio,Reutilización,1415.93,963.57,452.36,68.05,1242.31,11176.39,5416.81,306691.64,470906.23,40,53.54,5.8
660,2020-06-24,2020,6,Perú,Este,Textil,Pequeña (10-49),32,Ninguna,Metal,Reparación,109.58,90.76,18.82,82.83,55.98,699.68,529.14,271207.76,320284.66,25,18.1,4.8
661,2021-06-22,2021,6,Brasil,Este,Metales,Grande (250+),1814,Ninguna,Construcción,Co-procesamiento,1997.42,1526.39,471.03,76.42,1149.39,6760.31,2949.35,98106.37,306172.17,42,212.08,8.1
662,2023-11-15,2023,11,Perú,Norte,Electrónica,Pequeña (10-49),43,Ninguna,Vidrio,Digestión Anaeróbica,1505.1,1278.81,226.29,84.97,2562.83,12683.94,1127.45,109371.89,235705.09,10,115.51,9.5
663,2020-11-13,2020,11,México,Centro,Textil,Pequeña (10-49),49,EMAS,Textil,Intercambio Industrial,2877.47,2372.91,504.56,82.47,1498.5,13697.92,5559.11,369494.38,1030098.9,31,178.79,5.8
664,2021-02-11,2021,2,México,Norte,Construcción,Micro (<10),8,ISO 14001,Plástico,Reciclaje,4658.16,2227.64,2430.52,47.82,4312.46,32150.22,6252.35,33945.52,80440.53,20,136.97,2.6
665,2019-09-20,2019,9,Chile,Oeste,Construcción,Pequeña (10-49),38,ISO 50001,Químico Peligroso,Compostaje,2051.35,1308.96,742.39,63.81,2203.11,14330.68,3415.42,424149.36,529410.25,7,24.82,1.4
